,Descriptor,Resolved Type,Duration Type,Cluster Labels,Segment
18510,Noise,no_violation,"(0.069, 26.55]",3,4
18511,Noise,fixed,"(0.069, 26.55]",7,8
18512,Noise,no_violation,"(0.069, 26.55]",3,4
18513,Noise,info_needed,"(0.069, 26.55]",3,4
18514,Noise,no_violation,"(26.55, 63.33]",6,7
18515,Noise,info_needed,"(0.069, 26.55]",3,4
18516,Noise,fixed,"(63.33, 2677.65]",4,5
18517,Traffic,no_violation,"(0.069, 26.55]",1,2
18518,Energy,no_violation,"(26.55, 63.33]",1,2
18519,Noise,fixed,"(26.55, 63.33]",4,5
18520,Noise,fixed,"(26.55, 63.33]",4,5
18521,Noise,fixed,"(0.069, 26.55]",7,8
18522,Noise,fixed,"(0.069, 26.55]",7,8
18523,Traffic,fixed,"(26.55, 63.33]",0,1
18524,Noise,no_violation,"(0.069, 26.55]",3,4
18525,Noise,info_needed,"(26.55, 63.33]",4,5
18526,Energy,fixed,"(0.069, 26.55]",7,8
18527,Traffic,no_violation,"(0.069, 26.55]",1,2
18528,Noise,no_violation,"(0.069, 26.55]",3,4
18529,Traffic,fixed,"(63.33, 2677.65]",8,9
18530,Noise,fixed,"(26.55, 63.33]",4,5
18531,Noise,fixed,"(26.55, 63.33]",4,5
18532,Noise,fixed,"(0.069, 26.55]",7,8
18533,Noise,fixed,"(0.069, 26.55]",7,8
18534,Traffic,no_violation,"(0.069, 26.55]",1,2
18535,Noise,fixed,"(26.55, 63.33]",4,5
18536,Noise,no_violation,"(0.069, 26.55]",3,4
18537,Noise,fixed,"(26.55, 63.33]",4,5
18538,Noise,fixed,"(0.069, 26.55]",7,8
18539,Noise,fixed,"(0.069, 26.55]",7,8
18540,Noise,fixed,"(26.55, 63.33]",4,5
18541,Noise,fixed,"(0.069, 26.55]",7,8
18542,House,info_needed,"(2677.65, 59476.62]",2,3
18543,Noise,fixed,"(26.55, 63.33]",4,5
18544,Noise,fixed,"(26.55, 63.33]",4,5
18545,Traffic,no_violation,"(26.55, 63.33]",1,2
18546,Noise,fixed,"(26.55, 63.33]",4,5
18547,Noise,no_violation,"(26.55, 63.33]",6,7
18548,Noise,fixed,"(63.33, 2677.65]",4,5
18549,Noise,fixed,"(0.069, 26.55]",7,8
18550,Noise,fixed,"(0.069, 26.55]",7,8
18551,Traffic,no_violation,"(0.069, 26.55]",1,2
18552,Noise,fixed,"(26.55, 63.33]",4,5
18553,Safety,referred,"(0.069, 26.55]",0,1
18554,Noise,fixed,"(26.55, 63.33]",4,5
18555,Noise,fixed,"(0.069, 26.55]",7,8
18556,Traffic,no_violation,"(63.33, 2677.65]",1,2
18557,Traffic,no_violation,"(63.33, 2677.65]",1,2
18558,Noise,fixed,"(0.069, 26.55]",7,8
18559,Noise,no_violation,"(26.55, 63.33]",6,7
18560,Noise,no_violation,"(26.55, 63.33]",6,7
18561,Noise,no_violation,"(26.55, 63.33]",6,7
18562,Noise,no_violation,"(26.55, 63.33]",6,7
18563,Noise,fixed,"(0.069, 26.55]",7,8
18564,Traffic,no_violation,"(26.55, 63.33]",1,2
18565,Noise,no_violation,"(63.33, 2677.65]",9,10
18566,Noise,fixed,"(0.069, 26.55]",7,8
18567,Noise,fixed,"(26.55, 63.33]",4,5
18568,Noise,fixed,"(0.069, 26.55]",7,8
18569,Noise,no_violation,"(0.069, 26.55]",3,4
18570,Noise,fixed,"(26.55, 63.33]",4,5
18571,Noise,no_violation,"(26.55, 63.33]",6,7
18572,Traffic,no_violation,"(0.069, 26.55]",1,2
18573,Noise,no_violation,"(63.33, 2677.65]",9,10
18574,Noise,fixed,"(0.069, 26.55]",7,8
18575,Traffic,fixed,"(0.069, 26.55]",7,8
18576,Noise,no_violation,"(63.33, 2677.65]",9,10
18577,Safety,no_violation,"(26.55, 63.33]",0,1
18578,Noise,fixed,"(0.069, 26.55]",7,8
18579,Noise,fixed,"(0.069, 26.55]",7,8
18580,Noise,fixed,"(0.069, 26.55]",7,8
18581,Noise,fixed,"(26.55, 63.33]",4,5
18582,Noise,no_violation,"(63.33, 2677.65]",9,10
18583,Noise,fixed,"(26.55, 63.33]",4,5
18584,Noise,fixed,"(26.55, 63.33]",4,5
18585,Noise,no_violation,"(26.55, 63.33]",6,7
18587,Noise,fixed,"(26.55, 63.33]",4,5
18588,Safety,no_violation,"(26.55, 63.33]",0,1
18589,Noise,fixed,"(63.33, 2677.65]",4,5
18590,Noise,fixed,"(63.33, 2677.65]",4,5
18591,Noise,fixed,"(63.33, 2677.65]",4,5
18592,Noise,fixed,"(63.33, 2677.65]",4,5
18593,Noise,fixed,"(63.33, 2677.65]",4,5
18594,Traffic,no_violation,"(63.33, 2677.65]",1,2
18595,Noise,fixed,"(26.55, 63.33]",4,5
18596,Noise,fixed,"(63.33, 2677.65]",4,5
18597,Noise,fixed,"(26.55, 63.33]",4,5
18598,Safety,no_violation,"(63.33, 2677.65]",9,10
18599,Noise,fixed,"(26.55, 63.33]",4,5
18600,Noise,fixed,"(26.55, 63.33]",4,5
18601,Noise,fixed,"(26.55, 63.33]",4,5
18602,Noise,fixed,"(0.069, 26.55]",7,8
18603,Noise,fixed,"(0.069, 26.55]",7,8
18604,Noise,fixed,"(0.069, 26.55]",7,8
18605,Other,no_violation,"(26.55, 63.33]",1,2
18606,Noise,fixed,"(0.069, 26.55]",7,8
18607,Noise,fixed,"(26.55, 63.33]",4,5
18608,Traffic,no_violation,"(0.069, 26.55]",1,2
18609,Noise,fixed,"(0.069, 26.55]",7,8
18610,Noise,fixed,"(0.069, 26.55]",7,8
18611,Noise,fixed,"(0.069, 26.55]",7,8
18612,Noise,fixed,"(26.55, 63.33]",4,5
18613,Noise,fixed,"(0.069, 26.55]",7,8
18614,Noise,fixed,"(26.55, 63.33]",4,5
18615,Noise,fixed,"(26.55, 63.33]",4,5
18616,Noise,fixed,"(0.069, 26.55]",7,8
18617,Noise,fixed,"(0.069, 26.55]",7,8
18618,Noise,fixed,"(0.069, 26.55]",7,8
18619,Safety,no_violation,"(26.55, 63.33]",0,1
18620,Noise,fixed,"(0.069, 26.55]",7,8
18621,Animals,fixed,"(2677.65, 59476.62]",5,6
18622,Noise,no_violation,"(26.55, 63.33]",6,7
18623,Noise,no_violation,"(26.55, 63.33]",6,7
18624,Noise,fixed,"(26.55, 63.33]",4,5
18625,Traffic,no_violation,"(26.55, 63.33]",1,2
18626,Noise,fixed,"(0.069, 26.55]",7,8
18627,Traffic,no_violation,"(0.069, 26.55]",1,2
18628,Noise,fixed,"(0.069, 26.55]",7,8
18629,Traffic,fixed,"(26.55, 63.33]",0,1
18630,Noise,fixed,"(0.069, 26.55]",7,8
18631,Noise,fixed,"(0.069, 26.55]",7,8
18632,Noise,fixed,"(0.069, 26.55]",7,8
18633,Noise,fixed,"(0.069, 26.55]",7,8
18634,Noise,fixed,"(0.069, 26.55]",7,8
18635,Other,no_violation,"(63.33, 2677.65]",9,10
18636,Noise,fixed,"(63.33, 2677.65]",4,5
18637,Noise,fixed,"(0.069, 26.55]",7,8
18638,Noise,fixed,"(0.069, 26.55]",7,8
18639,Traffic,no_violation,"(0.069, 26.55]",1,2
18640,Noise,fixed,"(0.069, 26.55]",7,8
18641,Noise,no_violation,"(0.069, 26.55]",3,4
18642,Noise,fixed,"(0.069, 26.55]",7,8
18643,Energy,no_violation,"(0.069, 26.55]",3,4
18644,Noise,fixed,"(0.069, 26.55]",7,8
18645,Noise,fixed,"(26.55, 63.33]",4,5
18646,Noise,fixed,"(26.55, 63.33]",4,5
18647,Noise,fixed,"(0.069, 26.55]",7,8
18648,Noise,no_violation,"(26.55, 63.33]",6,7
18649,Noise,fixed,"(0.069, 26.55]",7,8
18650,Noise,no_violation,"(63.33, 2677.65]",9,10
18651,Noise,no_violation,"(26.55, 63.33]",6,7
18652,Noise,fixed,"(0.069, 26.55]",7,8
18653,Noise,no_violation,"(26.55, 63.33]",6,7
18654,Noise,fixed,"(0.069, 26.55]",7,8
18655,Noise,fixed,"(0.069, 26.55]",7,8
18656,Noise,fixed,"(0.069, 26.55]",7,8
18657,Safety,no_violation,"(0.069, 26.55]",3,4
18658,Noise,fixed,"(0.069, 26.55]",7,8
18659,Noise,fixed,"(63.33, 2677.65]",4,5
18660,Noise,fixed,"(0.069, 26.55]",7,8
18661,Noise,fixed,"(26.55, 63.33]",4,5
18662,Other,fixed,"(26.55, 63.33]",0,1
18663,Noise,fixed,"(0.069, 26.55]",7,8
18664,Noise,no_violation,"(0.069, 26.55]",3,4
18665,Traffic,no_violation,"(26.55, 63.33]",1,2
18666,Traffic,no_violation,"(0.069, 26.55]",1,2
18667,Noise,no_violation,"(0.069, 26.55]",3,4
18668,Noise,no_violation,"(0.069, 26.55]",3,4
18669,Traffic,fixed,"(26.55, 63.33]",0,1
18670,Noise,fixed,"(0.069, 26.55]",7,8
18671,Safety,fixed,"(26.55, 63.33]",0,1
18672,Noise,no_violation,"(26.55, 63.33]",6,7
18673,Noise,no_violation,"(26.55, 63.33]",6,7
18674,Noise,fixed,"(26.55, 63.33]",4,5
18675,Noise,fixed,"(0.069, 26.55]",7,8
18676,Noise,fixed,"(0.069, 26.55]",7,8
18677,Noise,no_violation,"(0.069, 26.55]",3,4
18678,Traffic,fixed,"(0.069, 26.55]",7,8
18679,Noise,fixed,"(0.069, 26.55]",7,8
18680,Noise,fixed,"(0.069, 26.55]",7,8
18681,Traffic,fixed,"(0.069, 26.55]",7,8
18682,Noise,fixed,"(0.069, 26.55]",7,8
18683,Noise,fixed,"(26.55, 63.33]",4,5
18684,Noise,fixed,"(0.069, 26.55]",7,8
18685,Noise,fixed,"(0.069, 26.55]",7,8
18686,Noise,no_violation,"(63.33, 2677.65]",9,10
18687,Noise,no_violation,"(0.069, 26.55]",3,4
18688,Noise,fixed,"(63.33, 2677.65]",4,5
18689,Noise,fixed,"(26.55, 63.33]",4,5
18690,Safety,no_violation,"(26.55, 63.33]",0,1
18691,Noise,info_needed,"(26.55, 63.33]",4,5
18692,Noise,no_violation,"(0.069, 26.55]",3,4
18693,Noise,no_violation,"(26.55, 63.33]",6,7
18694,Noise,no_violation,"(26.55, 63.33]",6,7
18695,Noise,no_violation,"(0.069, 26.55]",3,4
18696,Noise,fixed,"(26.55, 63.33]",4,5
18697,Noise,no_violation,"(0.069, 26.55]",3,4
18698,Noise,no_violation,"(26.55, 63.33]",6,7
18699,Noise,no_violation,"(0.069, 26.55]",3,4
18700,Noise,no_violation,"(0.069, 26.55]",3,4
18701,Noise,no_violation,"(0.069, 26.55]",3,4
18702,Noise,no_violation,"(26.55, 63.33]",6,7
18703,Traffic,no_violation,"(26.55, 63.33]",1,2
18704,Noise,no_violation,"(0.069, 26.55]",3,4
18705,Noise,fixed,"(26.55, 63.33]",4,5
18706,Noise,fixed,"(0.069, 26.55]",7,8
18707,Traffic,no_violation,"(0.069, 26.55]",1,2
18708,Noise,fixed,"(26.55, 63.33]",4,5
18709,Noise,fixed,"(26.55, 63.33]",4,5
18710,Personal Issue,no_violation,"(0.069, 26.55]",3,4
18711,Noise,fixed,"(0.069, 26.55]",7,8
18712,Noise,fixed,"(0.069, 26.55]",7,8
18713,Noise,fixed,"(0.069, 26.55]",7,8
18714,Noise,fixed,"(0.069, 26.55]",7,8
18715,Noise,fixed,"(0.069, 26.55]",7,8
18716,Noise,no_violation,"(0.069, 26.55]",3,4
18717,Noise,fixed,"(26.55, 63.33]",4,5
18718,Animals,fixed,"(63.33, 2677.65]",5,6
18719,Traffic,no_violation,"(26.55, 63.33]",1,2
18720,Energy,no_violation,"(0.069, 26.55]",3,4
18721,Noise,no_violation,"(0.069, 26.55]",3,4
18722,Noise,no_violation,"(0.069, 26.55]",3,4
18723,Energy,no_violation,"(26.55, 63.33]",1,2
18724,Noise,fixed,"(26.55, 63.33]",4,5
18725,Traffic,no_violation,"(26.55, 63.33]",1,2
18762,Noise,fixed,"(0.069, 26.55]",7,8
18763,Safety,fixed,"(26.55, 63.33]",0,1
18764,Traffic,fixed,"(26.55, 63.33]",0,1
18765,Noise,no_violation,"(26.55, 63.33]",6,7
18766,Noise,no_violation,"(0.069, 26.55]",3,4
18767,Safety,no_violation,"(26.55, 63.33]",0,1
18768,Noise,no_violation,"(0.069, 26.55]",3,4
18769,Noise,no_violation,"(26.55, 63.33]",6,7
18770,Noise,no_violation,"(0.069, 26.55]",3,4
18771,Noise,no_violation,"(0.069, 26.55]",3,4
18772,Noise,fixed,"(0.069, 26.55]",7,8
18774,Noise,no_violation,"(63.33, 2677.65]",9,10
18775,Noise,fixed,"(0.069, 26.55]",7,8
18776,Noise,info_needed,"(26.55, 63.33]",4,5
18777,Noise,no_violation,"(63.33, 2677.65]",9,10
18778,Noise,fixed,"(26.55, 63.33]",4,5
18779,Noise,fixed,"(0.069, 26.55]",7,8
18780,Noise,fixed,"(26.55, 63.33]",4,5
18782,House,no_violation,"(0.069, 26.55]",2,3
18783,Noise,no_violation,"(63.33, 2677.65]",9,10
18784,Noise,fixed,"(26.55, 63.33]",4,5
18785,Noise,no_violation,"(63.33, 2677.65]",9,10
18786,Noise,fixed,"(63.33, 2677.65]",4,5
18787,Noise,no_violation,"(0.069, 26.55]",3,4
18788,Noise,fixed,"(26.55, 63.33]",4,5
18789,Noise,fixed,"(0.069, 26.55]",7,8
18790,Noise,fixed,"(26.55, 63.33]",4,5
18791,Noise,fixed,"(26.55, 63.33]",4,5
18792,Traffic,no_violation,"(0.069, 26.55]",1,2
18793,Noise,no_violation,"(0.069, 26.55]",3,4
18794,Noise,no_violation,"(26.55, 63.33]",6,7
18795,House,fixed,"(63.33, 2677.65]",8,9
18797,Noise,no_violation,"(63.33, 2677.65]",9,10
18798,Noise,no_violation,"(63.33, 2677.65]",9,10
18799,Noise,no_violation,"(26.55, 63.33]",6,7
18800,Noise,no_violation,"(26.55, 63.33]",6,7
18801,Noise,fixed,"(63.33, 2677.65]",4,5
18802,Noise,no_violation,"(0.069, 26.55]",3,4
18803,Noise,no_violation,"(63.33, 2677.65]",9,10
18804,Noise,fixed,"(63.33, 2677.65]",4,5
18805,Noise,fixed,"(26.55, 63.33]",4,5
18806,Traffic,fixed,"(63.33, 2677.65]",8,9
18808,Traffic,no_violation,"(26.55, 63.33]",1,2
18809,Noise,fixed,"(0.069, 26.55]",7,8
18810,Noise,fixed,"(26.55, 63.33]",4,5
18811,Noise,fixed,"(26.55, 63.33]",4,5
18812,Traffic,fixed,"(26.55, 63.33]",0,1
18813,Noise,fixed,"(63.33, 2677.65]",4,5
18815,Noise,no_violation,"(0.069, 26.55]",3,4
18816,Noise,no_violation,"(0.069, 26.55]",3,4
18817,Traffic,no_violation,"(26.55, 63.33]",1,2
18818,Noise,no_violation,"(0.069, 26.55]",3,4
18819,Noise,no_violation,"(0.069, 26.55]",3,4
18820,Noise,no_violation,"(0.069, 26.55]",3,4
18821,Noise,fixed,"(0.069, 26.55]",7,8
18822,Traffic,no_violation,"(63.33, 2677.65]",1,2
18823,Noise,no_violation,"(63.33, 2677.65]",9,10
18824,Noise,no_violation,"(0.069, 26.55]",3,4
18825,Noise,no_violation,"(63.33, 2677.65]",9,10
18826,Energy,no_violation,"(63.33, 2677.65]",9,10
18827,Traffic,no_violation,"(63.33, 2677.65]",1,2
18828,Traffic,no_violation,"(63.33, 2677.65]",1,2
18829,Noise,no_violation,"(63.33, 2677.65]",9,10
18830,Animals,no_violation,"(2677.65, 59476.62]",2,3
18831,Energy,no_violation,"(26.55, 63.33]",1,2
18832,Noise,no_violation,"(63.33, 2677.65]",9,10
18833,Traffic,no_violation,"(63.33, 2677.65]",1,2
18835,Noise,fixed,"(26.55, 63.33]",4,5
18836,Noise,no_violation,"(63.33, 2677.65]",9,10
18837,Noise,fixed,"(26.55, 63.33]",4,5
18838,Noise,no_violation,"(26.55, 63.33]",6,7
18839,Noise,no_violation,"(26.55, 63.33]",6,7
18840,Noise,no_violation,"(26.55, 63.33]",6,7
18841,Traffic,fixed,"(63.33, 2677.65]",8,9
18843,Traffic,info_needed,"(26.55, 63.33]",1,2
18844,Noise,fixed,"(26.55, 63.33]",4,5
18845,Traffic,info_needed,"(63.33, 2677.65]",8,9
18846,Noise,no_violation,"(26.55, 63.33]",6,7
18847,Traffic,info_needed,"(26.55, 63.33]",1,2
18848,Noise,no_violation,"(26.55, 63.33]",6,7
18849,Safety,fixed,"(63.33, 2677.65]",0,1
18850,Traffic,no_violation,"(26.55, 63.33]",1,2
18851,Traffic,info_needed,"(63.33, 2677.65]",8,9
18852,Traffic,fixed,"(63.33, 2677.65]",8,9
18855,Noise,no_violation,"(63.33, 2677.65]",9,10
18857,Noise,no_violation,"(26.55, 63.33]",6,7
18858,Noise,info_needed,"(26.55, 63.33]",4,5
18859,Noise,no_violation,"(2677.65, 59476.62]",2,3
18860,Noise,no_violation,"(63.33, 2677.65]",9,10
18862,Noise,no_violation,"(26.55, 63.33]",6,7
18863,Noise,no_violation,"(63.33, 2677.65]",9,10
18864,Traffic,fixed,"(63.33, 2677.65]",8,9
18865,Safety,no_violation,"(63.33, 2677.65]",9,10
18866,Noise,fixed,"(0.069, 26.55]",7,8
18867,Other,no_violation,"(26.55, 63.33]",1,2
18868,Personal Issue,fixed,"(0.069, 26.55]",7,8
18869,Noise,no_violation,"(0.069, 26.55]",3,4
18873,Traffic,no_violation,"(0.069, 26.55]",1,2
18874,Traffic,no_violation,"(26.55, 63.33]",1,2
18875,Noise,fixed,"(63.33, 2677.65]",4,5
18876,Traffic,fixed,"(0.069, 26.55]",7,8
18877,Noise,fixed,"(26.55, 63.33]",4,5
18878,Noise,fixed,"(26.55, 63.33]",4,5
18879,Noise,no_violation,"(0.069, 26.55]",3,4
18881,Noise,no_violation,"(26.55, 63.33]",6,7
18882,Safety,fixed,"(63.33, 2677.65]",0,1
18883,Safety,fixed,"(63.33, 2677.65]",0,1
18884,Noise,fixed,"(63.33, 2677.65]",4,5
18885,Noise,fixed,"(26.55, 63.33]",4,5
18907,Traffic,fixed,"(63.33, 2677.65]",8,9
18908,Noise,no_violation,"(63.33, 2677.65]",9,10
18909,Traffic,info_needed,"(26.55, 63.33]",1,2
18910,Noise,info_needed,"(26.55, 63.33]",4,5
18916,Traffic,fixed,"(63.33, 2677.65]",8,9
18928,Noise,fixed,"(0.069, 26.55]",7,8
18937,Noise,no_violation,"(26.55, 63.33]",6,7
18938,Traffic,fixed,"(26.55, 63.33]",0,1
18939,Personal Issue,fixed,"(63.33, 2677.65]",8,9
18940,Traffic,fixed,"(26.55, 63.33]",0,1
18945,Traffic,fixed,"(26.55, 63.33]",0,1
18946,Safety,no_violation,"(63.33, 2677.65]",9,10
18947,Noise,no_violation,"(63.33, 2677.65]",9,10
18948,Noise,no_violation,"(63.33, 2677.65]",9,10
18949,Noise,no_violation,"(26.55, 63.33]",6,7
18950,Noise,no_violation,"(0.069, 26.55]",3,4
18953,Traffic,no_violation,"(0.069, 26.55]",1,2
18954,Noise,fixed,"(0.069, 26.55]",7,8
18955,Noise,fixed,"(26.55, 63.33]",4,5
18956,Noise,fixed,"(0.069, 26.55]",7,8
18957,Traffic,fixed,"(0.069, 26.55]",7,8
18958,Traffic,followup,"(2677.65, 59476.62]",1,2
18959,Traffic,no_violation,"(2677.65, 59476.62]",1,2
18960,Traffic,followup,"(2677.65, 59476.62]",1,2
18961,Traffic,fixed,"(0.069, 26.55]",7,8
18962,Traffic,followup,"(2677.65, 59476.62]",1,2
18963,Traffic,no_violation,"(2677.65, 59476.62]",1,2
18964,Traffic,no_violation,"(2677.65, 59476.62]",1,2
18965,Noise,info_needed,"(63.33, 2677.65]",9,10
18966,Traffic,no_violation,"(26.55, 63.33]",1,2
18967,Personal Issue,fixed,"(63.33, 2677.65]",8,9
18968,Commercial,fixed,"(63.33, 2677.65]",8,9
18969,Traffic,no_violation,"(26.55, 63.33]",1,2
18970,Other,referred,"(63.33, 2677.65]",8,9
18971,Animals,duplicated_report,"(63.33, 2677.65]",5,6
18972,Animals,duplicated_report,"(63.33, 2677.65]",5,6
18973,Animals,duplicated_report,"(63.33, 2677.65]",5,6
18974,Animals,duplicated_report,"(63.33, 2677.65]",5,6
18975,Animals,duplicated_report,"(63.33, 2677.65]",5,6
18976,Animals,duplicated_report,"(63.33, 2677.65]",5,6
18977,Animals,duplicated_report,"(2677.65, 59476.62]",5,6
18978,Animals,duplicated_report,"(2677.65, 59476.62]",5,6
18986,Noise,no_violation,"(63.33, 2677.65]",9,10
18987,Animals,duplicated_report,"(2677.65, 59476.62]",5,6
18988,Animals,duplicated_report,"(63.33, 2677.65]",5,6
18989,Animals,duplicated_report,"(2677.65, 59476.62]",5,6
18990,Animals,duplicated_report,"(63.33, 2677.65]",5,6
18992,Traffic,no_violation,"(26.55, 63.33]",1,2
18993,Animals,duplicated_report,"(2677.65, 59476.62]",5,6
18994,Animals,duplicated_report,"(63.33, 2677.65]",5,6
18995,Traffic,no_violation,"(26.55, 63.33]",1,2
18996,Traffic,no_violation,"(26.55, 63.33]",1,2
18997,Animals,duplicated_report,"(2677.65, 59476.62]",5,6
18998,Animals,duplicated_report,"(63.33, 2677.65]",5,6
18999,Traffic,no_violation,"(26.55, 63.33]",1,2
19000,Safety,fixed,"(26.55, 63.33]",0,1
19001,Animals,duplicated_report,"(2677.65, 59476.62]",5,6
19002,House,info_needed,"(2677.65, 59476.62]",2,3
19003,Safety,fixed,"(2677.65, 59476.62]",0,1
19004,Safety,fixed,"(2677.65, 59476.62]",0,1
19005,Personal Issue,fixed,"(2677.65, 59476.62]",5,6
19006,Other,fixed,"(2677.65, 59476.62]",5,6
19007,Personal Issue,fixed,"(63.33, 2677.65]",8,9
19008,Traffic,no_violation,"(26.55, 63.33]",1,2
19009,Traffic,no_violation,"(26.55, 63.33]",1,2
19010,Noise,fixed,"(0.069, 26.55]",7,8
19012,Noise,fixed,"(0.069, 26.55]",7,8
19013,Traffic,no_violation,"(26.55, 63.33]",1,2
19014,Noise,fixed,"(0.069, 26.55]",7,8
19015,Safety,no_violation,"(63.33, 2677.65]",9,10
19016,Animals,duplicated_report,"(2677.65, 59476.62]",5,6
19017,Traffic,no_violation,"(0.069, 26.55]",1,2
19018,Safety,followup,"(2677.65, 59476.62]",0,1
19019,Noise,no_violation,"(2677.65, 59476.62]",2,3
19020,Animals,duplicated_report,"(2677.65, 59476.62]",5,6
19021,Safety,fixed,"(63.33, 2677.65]",0,1
19022,Animals,duplicated_report,"(2677.65, 59476.62]",5,6
19023,Safety,no_violation,"(2677.65, 59476.62]",2,3
19024,Safety,fixed,"(2677.65, 59476.62]",0,1
19025,Traffic,fixed,"(2677.65, 59476.62]",5,6
19026,Traffic,no_violation,"(63.33, 2677.65]",1,2
19027,Traffic,fixed,"(63.33, 2677.65]",8,9
19028,Traffic,fixed,"(26.55, 63.33]",0,1
19029,Animals,duplicated_report,"(2677.65, 59476.62]",5,6
19030,Traffic,fixed,"(63.33, 2677.65]",8,9
19031,Traffic,no_violation,"(0.069, 26.55]",1,2
19032,Traffic,fixed,"(63.33, 2677.65]",8,9
19033,Other,no_violation,"(2677.65, 59476.62]",2,3
19034,Animals,duplicated_report,"(63.33, 2677.65]",5,6
19036,Noise,fixed,"(2677.65, 59476.62]",4,5
19037,Animals,duplicated_report,"(63.33, 2677.65]",5,6
19040,Trash/Pollution,no_violation,"(2677.65, 59476.62]",2,3
19042,Noise,referred,"(2677.65, 59476.62]",2,3
19043,Traffic,fixed,"(63.33, 2677.65]",8,9
19045,Animals,duplicated_report,"(0.069, 26.55]",3,4
19047,Trash/Pollution,referred,"(2677.65, 59476.62]",2,3
19048,Traffic,fixed,"(2677.65, 59476.62]",5,6
19049,Safety,no_violation,"(0.069, 26.55]",3,4
19050,Animals,duplicated_report,"(2677.65, 59476.62]",5,6
19051,Trash/Pollution,referred,"(2677.65, 59476.62]",2,3
19052,Animals,duplicated_report,"(63.33, 2677.65]",5,6
19053,Safety,followup,"(2677.65, 59476.62]",0,1
19054,Noise,no_violation,"(0.069, 26.55]",3,4
19055,Traffic,no_violation,"(63.33, 2677.65]",1,2
19056,Trash/Pollution,no_violation,"(63.33, 2677.65]",9,10
19057,Animals,duplicated_report,"(2677.65, 59476.62]",5,6
19058,Animals,duplicated_report,"(63.33, 2677.65]",5,6
19059,Traffic,fixed,"(63.33, 2677.65]",8,9
19063,Safety,referred,"(2677.65, 59476.62]",0,1
19064,Animals,duplicated_report,"(63.33, 2677.65]",5,6
19065,Other,fixed,"(2677.65, 59476.62]",5,6
19066,Traffic,fixed,"(63.33, 2677.65]",8,9
19067,Traffic,no_violation,"(2677.65, 59476.62]",1,2
19068,Traffic,no_violation,"(63.33, 2677.65]",1,2
19069,Trash/Pollution,no_violation,"(2677.65, 59476.62]",2,3
19070,Animals,duplicated_report,"(2677.65, 59476.62]",5,6
19071,Safety,no_violation,"(2677.65, 59476.62]",2,3
19072,Traffic,no_violation,"(26.55, 63.33]",1,2
19073,Animals,duplicated_report,"(2677.65, 59476.62]",5,6
19074,Safety,no_violation,"(2677.65, 59476.62]",2,3
19075,Safety,fixed,"(26.55, 63.33]",0,1
19076,Animals,duplicated_report,"(2677.65, 59476.62]",5,6
19077,Traffic,fixed,"(26.55, 63.33]",0,1
19078,Traffic,fixed,"(26.55, 63.33]",0,1
19079,Traffic,fixed,"(26.55, 63.33]",0,1
19080,Trash/Pollution,no_violation,"(2677.65, 59476.62]",2,3
19081,Safety,fixed,"(2677.65, 59476.62]",0,1
19082,Traffic,no_violation,"(0.069, 26.55]",1,2
19085,Personal Issue,followup,"(0.069, 26.55]",3,4
19086,Animals,duplicated_report,"(2677.65, 59476.62]",5,6
19087,Other,fixed,"(26.55, 63.33]",0,1
19088,Commercial,info_needed,"(2677.65, 59476.62]",2,3
19089,Commercial,no_violation,"(2677.65, 59476.62]",2,3
19090,Commercial,info_needed,"(2677.65, 59476.62]",2,3
19091,Commercial,info_needed,"(63.33, 2677.65]",8,9
19092,Commercial,info_needed,"(2677.65, 59476.62]",2,3
19093,Other,info_needed,"(2677.65, 59476.62]",2,3
19094,Traffic,fixed,"(0.069, 26.55]",7,8
19095,Traffic,referred,"(0.069, 26.55]",1,2
19096,Safety,fixed,"(26.55, 63.33]",0,1
19097,Other,referred,"(63.33, 2677.65]",8,9
19098,Safety,fixed,"(26.55, 63.33]",0,1
19102,Traffic,fixed,"(63.33, 2677.65]",8,9
19103,Traffic,fixed,"(0.069, 26.55]",7,8
19104,Animals,duplicated_report,"(2677.65, 59476.62]",5,6
19105,Traffic,fixed,"(0.069, 26.55]",7,8
19106,Animals,duplicated_report,"(2677.65, 59476.62]",5,6
19107,House,no_violation,"(2677.65, 59476.62]",2,3
19108,Traffic,fixed,"(26.55, 63.33]",0,1
19109,Animals,duplicated_report,"(2677.65, 59476.62]",5,6
19110,Safety,followup,"(2677.65, 59476.62]",0,1
19112,Animals,duplicated_report,"(63.33, 2677.65]",5,6
19113,Trash/Pollution,info_needed,"(2677.65, 59476.62]",2,3
19114,Trash/Pollution,info_needed,"(2677.65, 59476.62]",2,3
19115,House,info_needed,"(2677.65, 59476.62]",2,3
19116,Trash/Pollution,info_needed,"(2677.65, 59476.62]",2,3
19117,Trash/Pollution,no_violation,"(2677.65, 59476.62]",2,3
19118,Other,no_violation,"(2677.65, 59476.62]",2,3
19119,House,no_violation,"(2677.65, 59476.62]",2,3
19120,House,no_violation,"(2677.65, 59476.62]",2,3
19121,House,no_violation,"(2677.65, 59476.62]",2,3
19122,Trash/Pollution,no_violation,"(2677.65, 59476.62]",2,3
19123,Animals,no_violation,"(2677.65, 59476.62]",2,3
19124,House,info_needed,"(2677.65, 59476.62]",2,3
19125,House,info_needed,"(2677.65, 59476.62]",2,3
19126,House,info_needed,"(2677.65, 59476.62]",2,3
